DATE,SEGMENT,MODELLREIHE,INSGESAMT,CO2-EMISSION IN G/KM,BENZIN,CO2-EMISSION IN G/KM1,KRAFTSTOFFVERBRAUCH IN L/100 KM,DIESEL,CO2-EMISSION IN G/KM2,KRAFTSTOFFVERBRAUCH IN L/100 KM1,ERDGAS (CNG) (EINSCHL. BIVALENT),FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),HYBRID,DAR. PLUG-IN,ELEKTRO (BEV)
202205,GELÄNDEWAGEN,HYUNDAI SANTA FE,90,78.1,,,,15,175.7,6.6,,,75,62,
202205,GELÄNDEWAGEN,JAGUAR E-PACE,34,157,,,,1,159,6,,,33,7,
202205,GELÄNDEWAGEN,JAGUAR F-PACE,120,197.7,61,245.9,10.6,,,,,,59,23,
202205,GELÄNDEWAGEN,JEEP COMPASS,568,82.6,132,156.9,6.8,8,137.8,5.2,,,428,393,
202205,GELÄNDEWAGEN,JEEP RENEGADE,441,83.6,114,152.6,6.6,17,137.8,5.2,,,310,282,
202205,GELÄNDEWAGEN,JEEP WRANGLER,86,132.1,16,304.8,13.1,2,,,,,68,67,
202205,GELÄNDEWAGEN,KIA SORENTO,224,134.4,,,,145,174.1,6.6,,,79,64,
202205,GELÄNDEWAGEN,LAMBORGHINI URUS,48,324.5,48,324.5,14,,,,,,,,
202205,GELÄNDEWAGEN,LAND ROVER DEFENDER,306,252,79,330.9,14.3,,,,,,227,23,
202205,GELÄNDEWAGEN,LAND ROVER DISCOVERY,52,224,,,,,,,,,52,,
202205,GELÄNDEWAGEN,LAND ROVER DISCOVERY SPORT,60,159.8,,,,8,171.3,6.5,,,52,14,
202205,GELÄNDEWAGEN,LAND ROVER RANGE ROVER,106,235.7,35,268.8,11.6,,,,,,71,,
202205,GELÄNDEWAGEN,LAND ROVER RANGE ROVER EVOQUE,237,153.9,,,,4,162.8,6.1,,,233,53,
202205,GELÄNDEWAGEN,LAND ROVER RANGE ROVER SPORT,62,251,16,327.4,14.1,,,,,,46,3,
202205,GELÄNDEWAGEN,LAND ROVER RANGE ROVER VELAR,294,147.1,82,219.9,9.5,,,,,,212,116,
202205,GELÄNDEWAGEN,MERCEDES G-KLASSE,514,337.5,333,363.6,15.7,181,289.8,10.9,,,,,
202205,GELÄNDEWAGEN,"MERCEDES GL-KLASSE, GLS",171,247.1,,,,97,228.9,8.6,,,74,,
202205,GELÄNDEWAGEN,"MERCEDES ML-KLASSE, GLE",953,119.3,,,,287,212.6,8,,,666,467,
202205,GELÄNDEWAGEN,NISSAN X-TRAIL,8,168.3,8,168.3,7.3,,,,,,,,
202205,GELÄNDEWAGEN,PORSCHE CAYENNE,230,190.4,127,284.2,12.3,,,,,,103,103,
202205,GELÄNDEWAGEN,PORSCHE MACAN,473,243.2,473,243.2,10.5,,,,,,,,
202205,GELÄNDEWAGEN,SKODA KODIAQ,1382,167.4,398,179.9,7.8,984,162.3,6.1,,,,,
202205,GELÄNDEWAGEN,SSANGYONG REXTON,38,213.6,,,,38,213.6,8.1,,,,,
202205,GELÄNDEWAGEN,SUBARU FORESTER,95,185,,,,,,,,,95,,
202205,GELÄNDEWAGEN,TOYOTA LANDCRUISER,102,251.7,4,338.5,14.6,98,249.9,9.4,,,,,
202205,GELÄNDEWAGEN,VOLVO XC40,638,103.9,297,165,7.1,1,,,,,290,261,50
