DATE,LAND,STATISTISCHE KENNZIFFER UND ZULASSUNGSBEZIRK,INSGESAMT,BENZIN,DIESEL,GAS (EINSCHL. BIVALENT),HYBRID INSGESAMT,ELEKTRO (BEV),SONSTIGE,EURO 1,EURO 2,EURO 3,EURO 4,EURO 5,EURO 6,SONSTIGE1
2020,BAYERN,"09361 AMBERG,STADT",25166.0,16360.0,8217.0,129.0,347.0,108.0,5.0,228.0,1137.0,1483.0,6250.0,6857.0,8755.0,200.0
2020,BAYERN,"09362 REGENSBURG,STADT",92778.0,57040.0,33320.0,595.0,1360.0,446.0,17.0,702.0,3257.0,4097.0,17379.0,20850.0,44794.0,729.0
2020,BAYERN,"09363 WEIDEN I.D.OPF.,STADT",26138.0,16845.0,8855.0,162.0,217.0,50.0,9.0,238.0,1279.0,1489.0,6240.0,7034.0,9456.0,106.0
2020,BAYERN,09371 AMBERG-SULZBACH,69942.0,43725.0,25141.0,404.0,466.0,192.0,14.0,690.0,3692.0,4374.0,18871.0,20495.0,20586.0,433.0
2020,BAYERN,09372 CHAM,88655.0,54384.0,32939.0,710.0,425.0,182.0,15.0,920.0,4668.0,5444.0,23333.0,26178.0,26646.0,507.0
2020,BAYERN,09373 NEUMARKT I.D.OPF.,88784.0,53646.0,33642.0,504.0,732.0,252.0,8.0,788.0,3879.0,5113.0,21943.0,25878.0,29513.0,633.0
2020,BAYERN,09374 NEUSTADT A.D.WALDNAAB,64802.0,40424.0,23455.0,380.0,410.0,122.0,11.0,591.0,3195.0,3609.0,16662.0,19095.0,20687.0,367.0
2020,BAYERN,09375 REGENSBURG,125669.0,77626.0,45425.0,1082.0,1130.0,379.0,27.0,1082.0,5297.0,6897.0,30685.0,37298.0,42218.0,764.0
2020,BAYERN,09376 SCHWANDORF,99908.0,59394.0,38707.0,815.0,792.0,184.0,16.0,842.0,4647.0,5702.0,25102.0,29240.0,32776.0,562.0
2020,BAYERN,09377 TIRSCHENREUTH,48742.0,31488.0,16700.0,237.0,234.0,76.0,7.0,429.0,2351.0,2476.0,12073.0,14625.0,16172.0,226.0
2020,BAYERN,"09461 BAMBERG,STADT",40979.0,25704.0,14237.0,360.0,459.0,208.0,11.0,574.0,2586.0,2870.0,9803.0,10166.0,13960.0,353.0
2020,BAYERN,"09462 BAYREUTH,STADT",39615.0,25577.0,13193.0,215.0,494.0,131.0,5.0,426.0,1909.0,2223.0,9251.0,10357.0,14747.0,248.0
2020,BAYERN,"09463 COBURG,STADT",25083.0,16412.0,8164.0,140.0,275.0,84.0,8.0,265.0,1216.0,1417.0,5626.0,6246.0,9763.0,177.0
2020,BAYERN,"09464 HOF,STADT",25952.0,18324.0,7191.0,126.0,236.0,69.0,6.0,215.0,1136.0,1392.0,5477.0,6343.0,10999.0,141.0
2020,BAYERN,09471 BAMBERG,101042.0,63767.0,35757.0,665.0,576.0,258.0,19.0,1093.0,5969.0,7146.0,27684.0,28706.0,28718.0,620.0
2020,BAYERN,09472 BAYREUTH,71277.0,46011.0,24242.0,414.0,460.0,140.0,10.0,712.0,3726.0,4098.0,18120.0,20832.0,22740.0,398.0
2020,BAYERN,09473 COBURG,58391.0,39968.0,17417.0,444.0,409.0,148.0,5.0,554.0,3259.0,3477.0,14928.0,16164.0,18928.0,356.0
2020,BAYERN,09474 FORCHHEIM,77714.0,50338.0,25958.0,453.0,667.0,284.0,14.0,855.0,4395.0,5315.0,20855.0,22079.0,22703.0,600.0
2020,BAYERN,09475 HOF,63579.0,42876.0,19789.0,435.0,363.0,104.0,12.0,624.0,3042.0,3093.0,13365.0,17885.0,24573.0,344.0
2020,BAYERN,09476 KRONACH,45184.0,29968.0,14617.0,228.0,273.0,78.0,20.0,434.0,2323.0,2499.0,10974.0,12955.0,15305.0,243.0
2020,BAYERN,09477 KULMBACH,49379.0,32107.0,16336.0,342.0,478.0,107.0,9.0,517.0,2675.0,3064.0,12142.0,13746.0,16322.0,294.0
2020,BAYERN,09478 LICHTENFELS,44399.0,29472.0,14392.0,245.0,181.0,94.0,15.0,456.0,2574.0,2868.0,12381.0,12332.0,13073.0,252.0
2020,BAYERN,09479 WUNSIEDEL I.FICHTELGEB.,47075.0,32017.0,14401.0,218.0,338.0,85.0,16.0,410.0,2183.0,2432.0,10150.0,13611.0,17464.0,246.0
2020,BAYERN,"09561 ANSBACH,STADT",25536.0,15973.0,8918.0,223.0,322.0,99.0,1.0,222.0,1432.0,1850.0,6694.0,6842.0,8064.0,151.0
2020,BAYERN,"09562 ERLANGEN,STADT",55572.0,35708.0,18524.0,354.0,758.0,221.0,7.0,692.0,3160.0,3766.0,13776.0,14710.0,18231.0,350.0
2020,BAYERN,"09563 FUERTH,STADT",63482.0,42572.0,19501.0,401.0,789.0,208.0,11.0,665.0,3418.0,4226.0,16290.0,16658.0,21073.0,369.0
2020,BAYERN,"09564 NUERNBERG,STADT",246845.0,157492.0,83383.0,1318.0,3817.0,798.0,37.0,2945.0,13673.0,16969.0,59915.0,61215.0,87060.0,1565.0
2020,BAYERN,"09565 SCHWABACH,STADT",26218.0,17684.0,7747.0,110.0,553.0,118.0,6.0,428.0,1367.0,1765.0,6459.0,6687.0,8716.0,309.0
2020,BAYERN,09571 ANSBACH,124575.0,76638.0,45844.0,950.0,807.0,311.0,25.0,1415.0,7864.0,9459.0,34755.0,35358.0,33348.0,905.0
2020,BAYERN,09572 ERLANGEN-HOECHSTADT,91393.0,57726.0,31676.0,551.0,1030.0,384.0,26.0,1049.0,4834.0,5892.0,22637.0,24999.0,29911.0,696.0
2020,BAYERN,09573 FUERTH,76518.0,52590.0,22586.0,378.0,704.0,244.0,16.0,877.0,4088.0,4883.0,19487.0,21255.0,24342.0,522.0
