Bundesland;Date;Powertrain;Reg
RHEINLAND-PFALZ;01.08.21;EV;1363
RHEINLAND-PFALZ;01.08.21;CNG;6
RHEINLAND-PFALZ;01.08.21;LPG;51
RHEINLAND-PFALZ;01.08.21;Hybrid;2415
SAARLAND;01.08.21;Benzin;1008
SAARLAND;01.08.21;Diesel;395
SAARLAND;01.08.21;EV;297
SAARLAND;01.08.21;CNG;
SAARLAND;01.08.21;LPG;7
SAARLAND;01.08.21;Hybrid;769
SACHSEN;01.08.21;Benzin;2452
SACHSEN;01.08.21;Diesel;1135
SACHSEN;01.08.21;EV;718
SACHSEN;01.08.21;CNG;8
SACHSEN;01.08.21;LPG;39
SACHSEN;01.08.21;Hybrid;1915
SACHSEN-ANHALT;01.08.21;Benzin;1295
SACHSEN-ANHALT;01.08.21;Diesel;549
SACHSEN-ANHALT;01.08.21;EV;352
SACHSEN-ANHALT;01.08.21;CNG;
SACHSEN-ANHALT;01.08.21;LPG;14
SACHSEN-ANHALT;01.08.21;Hybrid;1094
SCHLESWIG-HOLSTEIN;01.08.21;Benzin;1786
SCHLESWIG-HOLSTEIN;01.08.21;Diesel;1147
SCHLESWIG-HOLSTEIN;01.08.21;EV;1193
SCHLESWIG-HOLSTEIN;01.08.21;CNG;3
SCHLESWIG-HOLSTEIN;01.08.21;LPG;17
SCHLESWIG-HOLSTEIN;01.08.21;Hybrid;1560
THÜRINGEN;01.08.21;Benzin;1358
THÜRINGEN;01.08.21;Diesel;590
THÜRINGEN;01.08.21;EV;413
THÜRINGEN;01.08.21;CNG;4
THÜRINGEN;01.08.21;LPG;13
THÜRINGEN;01.08.21;Hybrid;998
BADEN-WÜRTTEMBERG;01.07.21;Benzin;11183
BADEN-WÜRTTEMBERG;01.07.21;Diesel;6662
BADEN-WÜRTTEMBERG;01.07.21;EV;4117
BADEN-WÜRTTEMBERG;01.07.21;CNG;39
BADEN-WÜRTTEMBERG;01.07.21;LPG;139
BADEN-WÜRTTEMBERG;01.07.21;Hybrid;10687
BAYERN;01.07.21;Benzin;19850
BAYERN;01.07.21;Diesel;10094
BAYERN;01.07.21;EV;4987
BAYERN;01.07.21;CNG;44
BAYERN;01.07.21;LPG;127
