DATE,BUNDESLAND,BENZIN INSGESAMT,DARUNTER EURO 6,DIESEL INSGESAMT,DARUNTER EURO 61,FLUSSIGGAS (LPG) (EINSCHL. BIVALENT),ERDGAS (CNG) (EINSCHL. BIVALENT),ELEKTRO (BEV),HYBRID,DARUNTER PLUG-IN,SONSTIGE
202101,SCHLESWIG-HOLSTEIN,1631.0,1629.0,1113.0,1113.0,6.0,6.0,598.0,1047.0,505.0,
202101,THÜRINGEN,1333.0,1332.0,731.0,731.0,9.0,6.0,264.0,650.0,249.0,
202101,SONSTIGE,28.0,28.0,58.0,53.0,,,9.0,25.0,13.0,
202101,DEUTSCHLAND,63054.0,62720.0,44327.0,44273.0,340.0,259.0,16315.0,45449.0,20588.0,10.0
202012,BADEN-WÜRTTEMBERG,14930.0,14883.0,9156.0,9150.0,110.0,34.0,7368.0,12765.0,7654.0,6.0
202012,BAYERN,22165.0,21966.0,14245.0,14185.0,378.0,54.0,6745.0,16351.0,7227.0,3.0
202012,BERLIN,2469.0,2460.0,1200.0,1200.0,14.0,10.0,1322.0,2448.0,1204.0,1.0
202012,BRANDENBURG,2944.0,2944.0,1364.0,1364.0,33.0,9.0,704.0,1603.0,638.0,
202012,BREMEN,633.0,628.0,407.0,407.0,6.0,,202.0,609.0,337.0,
202012,HAMBURG,3353.0,3350.0,4172.0,4171.0,28.0,1.0,1045.0,2130.0,1152.0,
202012,HESSEN,12084.0,12071.0,6479.0,6479.0,102.0,31.0,3751.0,6774.0,2973.0,
202012,MECKLENBURG-VORPOMMERN,1737.0,1735.0,848.0,848.0,21.0,3.0,409.0,746.0,261.0,
202012,NIEDERSACHSEN,12662.0,12578.0,7156.0,7147.0,156.0,44.0,8031.0,7703.0,4432.0,2.0
202012,NORDRHEIN-WESTFALEN,24614.0,24582.0,12215.0,12215.0,363.0,73.0,8368.0,18742.0,8130.0,5.0
202012,RHEINLAND-PFALZ,4645.0,4633.0,2375.0,2372.0,60.0,7.0,1635.0,3248.0,1630.0,5.0
202012,SAARLAND,1876.0,1874.0,788.0,788.0,5.0,2.0,554.0,935.0,376.0,
202012,SACHSEN,4742.0,4737.0,2539.0,2538.0,42.0,18.0,1087.0,2542.0,1031.0,2.0
202012,SACHSEN-ANHALT,2563.0,2558.0,1251.0,1251.0,24.0,13.0,475.0,1160.0,438.0,2.0
202012,SCHLESWIG-HOLSTEIN,3278.0,3274.0,1876.0,1876.0,30.0,10.0,1322.0,1980.0,996.0,
